Drug	c_target_A	c_target_cancer_direct_A	c_target_cancer_direct_A_scoreA	c_target_cancer_second_A	c_target_cancer_B	c_target_cancer_degree_B	c_target_cancer_degree_B_scoreA	c_target_cancerB_B	c_target_cancerB_degree_B	c_target_cancerB_degree_B_scoreB	c_target_B
DB08800	1	1	1	0	0	0	0	5	5	51	5
DB08799	1	1	1	0	0	0	0	5	5	51	5
DB08798	1	0	0	0	0	0	0	0	0	0	0
DB08502	1	0	0	0	0	0	0	0	0	0	0
DB07615	1	1	1	1	6	6	54	12	12	436	12
DB06825	1	1	6	1	1	1	1	49	49	932	49
DB06817	1	0	0	0	0	0	0	0	0	0	0
DB06809	1	1	1	1	15	15	47	111	111	2370	111
DB06795	1	1	1	0	0	0	0	0	0	0	0
DB06789	1	1	5	1	19	19	54	50	50	1551	50
DB06788	1	1	6	1	1	1	1	49	49	932	49
DB06786	1	1	2	1	5	5	12	68	68	1380	68
DB06785	1	1	6	1	1	1	1	49	49	932	49
DB06782	1	0	0	1	5	5	14	64	64	907	80
DB06781	1	1	4	1	14	14	37	74	74	1684	74
DB06775	1	0	0	1	1	1	1	64	64	600	65
DB06766	1	1	1	0	0	0	0	5	5	51	5
DB06764	1	1	1	1	3	3	3	47	47	888	47
DB06756	1	1	6	1	21	21	51	109	109	2232	109
DB06729	1	0	0	0	0	0	0	0	0	0	0
DB06720	1	0	0	0	0	0	0	4	4	110	5
DB06709	1	0	0	0	0	0	0	2	2	28	2
DB06699	1	1	6	1	1	1	1	49	49	932	49
DB06696	1	0	0	0	0	0	0	0	0	0	0
DB06695	1	0	0	1	10	10	35	94	94	808	101
DB06693	1	0	0	1	2	2	2	9	9	144	21
DB06691	1	1	1	0	0	0	0	5	5	51	5
DB06689	1	0	0	1	2	2	2	63	63	238	70
DB06688	1	1	1	0	0	0	0	0	0	0	0
DB06684	1	1	1	1	1	1	1	57	57	980	57
DB06674	1	0	0	1	11	11	36	72	72	1542	83
DB06670	1	0	0	1	1	1	1	5	5	262	5
DB06655	1	0	0	0	0	0	0	1	1	27	3
DB06654	1	0	0	1	12	12	26	19	19	324	22
DB06650	1	1	5	0	0	0	0	0	0	0	0
DB06643	1	1	1	1	6	6	10	11	11	265	11
DB06623	1	1	1	1	2	2	2	56	56	1064	56
DB06612	1	0	0	1	1	1	1	3	3	17	4
DB06605	1	0	0	1	3	3	3	46	46	116	59
DB06581	1	0	0	0	0	0	0	0	0	0	0
DB06543	1	1	1	1	36	36	89	196	196	4603	196
DB06480	1	0	0	0	0	0	0	0	0	0	0
DB06471	1	0	0	1	1	1	1	52	52	1028	53
DB06470	1	0	0	0	0	0	0	5	5	22	19
DB06444	1	0	0	1	11	11	36	72	72	1542	83
DB06441	1	0	0	0	0	0	0	1	1	39	1
DB06439	1	0	0	0	0	0	0	3	3	14	5
DB06436	1	1	17	1	45	45	138	371	371	14255	371
DB06413	1	0	0	0	0	0	0	11	11	100	12
DB06410	1	1	1	1	10	10	17	55	55	1035	55
DB06366	1	1	7	1	37	37	173	172	172	5090	172
DB06335	1	0	0	1	1	1	1	8	8	79	12
DB06317	1	0	0	0	0	0	0	2	2	40	2
DB06292	1	0	0	0	0	0	0	0	0	0	0
DB06290	1	0	0	0	0	0	0	0	0	0	0
DB06287	1	1	4	1	34	34	94	496	496	13339	496
DB06285	1	0	0	0	0	0	0	4	4	63	7
DB06282	1	1	1	0	0	0	0	5	5	51	5
DB06273	1	0	0	1	2	2	7	7	7	228	10
DB06267	1	1	1	1	1	1	1	9	9	125	9
DB06263	1	1	16	1	2	2	6	95	95	1310	95
DB06243	1	0	0	0	0	0	0	3	3	142	7
DB06237	1	1	1	1	1	1	1	9	9	125	9
DB06228	1	0	0	1	3	3	3	46	46	116	59
DB06213	1	0	0	0	0	0	0	41	41	859	43
DB06210	1	0	0	1	2	2	3	6	6	323	8
DB06209	1	0	0	0	0	0	0	1	1	39	1
DB06205	1	0	0	1	10	10	39	79	79	1099	98
DB06203	1	0	0	1	1	1	1	8	8	79	12
DB06190	1	0	0	1	2	2	11	51	51	1013	53
DB06186	1	1	1	1	7	7	14	19	19	613	19
DB06168	1	1	1	1	5	5	18	20	20	571	20
DB06147	1	0	0	0	0	0	0	0	0	0	0
DB06145	1	0	0	0	0	0	0	0	0	0	0
DB06127	1	0	0	1	1	1	1	8	8	79	12
DB06097	1	1	1	1	6	6	11	134	134	2615	134
DB06094	1	1	1	1	8	8	46	38	38	1081	38
DB06090	1	0	0	0	0	0	0	0	0	0	0
DB06073	1	0	0	1	3	3	3	21	21	258	34
DB06069	1	1	10	1	5	5	15	27	27	412	27
DB06064	1	1	1	1	38	38	59	337	337	11932	337
DB06061	1	1	1	1	21	21	39	219	219	8573	219
DB06058	1	0	0	0	0	0	0	0	0	0	0
DB06043	1	1	8	1	36	36	93	322	322	13529	322
DB06039	1	0	0	0	0	0	0	0	0	0	0
DB05990	1	1	1	1	7	7	29	25	25	615	25
DB05930	1	0	0	1	2	2	3	6	6	323	8
DB05920	1	1	16	1	2	2	6	95	95	1310	95
DB05916	1	1	3	1	1	1	3	6	6	117	6
DB05915	1	0	0	1	1	1	4	18	18	262	31
DB05905	1	0	0	0	0	0	0	0	0	0	0
DB05897	1	1	2	1	41	41	117	348	348	12875	348
DB05895	1	1	1	0	0	0	0	16	16	147	16
DB05892	1	0	0	1	4	4	5	10	10	43	15
DB05890	1	1	5	1	28	28	121	60	60	1694	60
DB05889	1	1	1	1	3	3	6	7	7	263	7
DB05888	1	0	0	0	0	0	0	0	0	0	0
DB05883	1	0	0	0	0	0	0	0	0	0	2
DB05879	1	0	0	1	11	11	36	72	72	1542	83
DB05876	1	0	0	1	5	5	8	20	20	639	20
DB05871	1	0	0	0	0	0	0	0	0	0	0
DB05868	1	0	0	0	0	0	0	0	0	0	0
DB05867	1	1	1	0	0	0	0	0	0	0	0
DB05864	1	1	1	0	0	0	0	34	34	64	34
DB05854	1	0	0	1	13	13	40	90	90	1588	101
DB05849	1	0	0	1	7	7	33	82	82	1710	86
DB05848	1	0	0	1	4	4	10	11	11	185	13
DB05846	1	0	0	1	5	5	14	64	64	907	80
DB05838	1	0	0	1	1	1	18	59	59	1429	60
DB05831	1	1	2	0	0	0	0	1	1	1	1
DB05824	1	0	0	1	8	8	13	117	117	1458	121
DB05814	1	0	0	1	5	5	11	42	42	641	62
DB05812	1	1	1	0	0	0	0	4	4	43	4
DB05806	1	1	10	1	5	5	15	27	27	412	27
DB05801	1	1	5	1	2	2	8	42	42	478	42
DB05797	1	0	0	1	1	1	1	4	4	64	4
DB05796	1	0	0	1	1	1	1	6	6	72	7
DB05793	1	0	0	0	0	0	0	22	22	619	22
DB05792	1	1	1	0	0	0	0	0	0	0	0
DB05790	1	0	0	0	0	0	0	5	5	354	7
DB05787	1	1	1	1	17	17	72	141	141	1967	141
DB05786	1	1	1	0	0	0	0	3	3	5	3
DB05773	1	1	7	1	37	37	173	172	172	5090	172
DB05771	1	0	0	1	6	6	12	31	31	566	34
DB05758	1	0	0	1	11	11	36	72	72	1542	83
DB05750	1	1	1	1	2	2	2	60	60	1090	60
DB05749	1	1	6	1	2	2	2	7	7	57	7
DB05736	1	0	0	1	1	1	1	5	5	262	5
DB05713	1	0	0	1	3	3	3	46	46	116	59
DB05712	1	0	0	0	0	0	0	1	1	10	1
DB05708	1	0	0	0	0	0	0	1	1	1	10
DB05685	1	0	0	1	4	4	45	25	25	590	26
DB05675	1	0	0	1	5	5	5	30	30	662	33
DB05662	1	1	17	1	44	44	116	182	182	3640	182
DB05630	1	1	10	1	5	5	15	27	27	412	27
DB05595	1	1	2	0	0	0	0	0	0	0	0
DB05578	1	1	17	1	45	45	138	371	371	14255	371
DB05511	1	1	1	1	1	1	2	16	16	502	16
DB05510	1	0	0	0	0	0	0	0	0	0	7
DB05506	1	0	0	1	46	46	176	139	139	4365	141
DB05505	1	0	0	0	0	0	0	0	0	0	0
DB05495	1	1	2	1	5	5	7	27	27	436	27
DB05494	1	1	2	0	0	0	0	1	1	5	1
DB05490	1	0	0	1	13	13	40	90	90	1588	101
DB05489	1	1	1	0	0	0	0	0	0	0	0
DB05484	1	1	1	1	2	2	5	17	17	227	17
DB05482	1	1	10	1	5	5	15	27	27	412	27
DB05481	1	0	0	1	2	2	3	25	25	122	30
DB05479	1	0	0	1	17	17	44	148	148	4432	151
DB05478	1	0	0	1	1	1	12	5	5	21	6
DB05476	1	1	1	1	6	6	9	27	27	495	27
DB05468	1	1	1	1	4	4	6	14	14	249	14
DB05467	1	1	2	1	8	8	16	40	40	728	40
DB05466	1	0	0	0	0	0	0	5	5	354	7
DB05463	1	1	1	1	5	5	25	118	118	1605	118
DB05460	1	1	1	1	1	1	3	5	5	103	5
DB05457	1	1	9	0	0	0	0	0	0	0	0
DB05455	1	0	0	1	1	1	1	47	47	900	48
DB05449	1	1	4	1	6	6	18	107	107	2132	107
DB05448	1	1	3	1	3	3	5	48	48	671	48
DB05447	1	0	0	1	6	6	33	35	35	641	45
DB05446	1	0	0	1	4	4	4	12	12	70	13
DB05443	1	0	0	1	1	1	1	54	54	961	55
DB05442	1	1	1	1	5	5	18	20	20	571	20
DB05432	1	0	0	0	0	0	0	0	0	0	2
DB05431	1	1	1	0	0	0	0	4	4	10	4
DB05429	1	0	0	1	2	2	2	13	13	43	15
DB05424	1	1	18	1	64	64	219	314	314	7369	314
DB05423	1	1	4	1	14	14	37	74	74	1684	74
DB05422	1	0	0	0	0	0	0	7	7	17	8
DB05421	1	0	0	0	0	0	0	5	5	354	7
DB05420	1	1	7	1	3	3	7	39	39	439	39
DB05419	1	0	0	0	0	0	0	0	0	0	2
DB05418	1	0	0	0	0	0	0	5	5	354	7
DB05417	1	0	0	0	0	0	0	0	0	0	11
DB05415	1	1	1	1	1	1	1	9	9	125	9
DB05414	1	1	1	0	0	0	0	0	0	0	0
DB05413	1	0	0	1	1	1	1	21	21	103	21
DB05407	1	0	0	0	0	0	0	3	3	10	4
DB05404	1	0	0	1	58	58	190	437	437	7548	529
DB05403	1	0	0	1	65	65	198	593	593	16447	594
DB05399	1	0	0	1	5	5	5	19	19	276	20
DB05395	1	0	0	1	2	2	11	51	51	1013	53
DB05391	1	0	0	1	16	16	37	129	129	2288	133
DB05390	1	1	1	1	1	1	4	1	1	99	1
DB05382	1	0	0	0	0	0	0	3	3	3	40
DB05374	1	1	18	1	64	64	219	314	314	7369	314
DB05372	1	1	1	1	2	2	2	60	60	1090	60
DB05369	1	0	0	0	0	0	0	39	39	806	40
DB05367	1	0	0	1	7	7	48	62	62	1509	66
DB05364	1	0	0	1	1	1	1	9	9	32	10
DB05362	1	0	0	1	3	3	3	46	46	116	59
DB05345	1	1	1	0	0	0	0	5	5	51	5
DB05343	1	0	0	1	1	1	2	11	11	219	13
DB05341	1	0	0	1	3	3	7	23	23	105	26
DB05339	1	1	1	1	1	1	1	57	57	980	57
DB05337	1	1	1	1	2	2	3	2	2	42	2
DB05332	1	0	0	1	2	2	3	6	6	323	8
DB05328	1	0	0	0	0	0	0	0	0	0	0
DB05327	1	0	0	1	3	3	3	12	12	23	23
DB05321	1	0	0	0	0	0	0	0	0	0	0
DB05319	1	1	2	0	0	0	0	1	1	1	1
DB05311	1	0	0	1	2	2	16	18	18	65	19
DB05309	1	0	0	1	15	15	93	22	22	857	22
DB05308	1	1	9	0	0	0	0	0	0	0	0
DB05307	1	0	0	0	0	0	0	0	0	0	4
DB05305	1	1	1	0	0	0	0	5	5	12	5
DB05299	1	1	2	1	5	5	14	21	21	353	21
DB05298	1	0	0	1	3	3	3	23	23	555	24
DB05297	1	1	6	1	21	21	51	109	109	2232	109
DB05295	1	1	1	1	10	10	17	55	55	1035	55
DB05290	1	0	0	1	7	7	48	62	62	1509	66
DB05289	1	1	2	1	13	13	29	87	87	1718	87
DB05282	1	1	1	1	1	1	1	13	13	76	13
DB05276	1	0	0	0	0	0	0	0	0	0	0
DB05268	1	1	4	1	34	34	66	210	210	7978	210
DB05264	1	1	1	1	9	9	13	25	25	969	25
DB05262	1	1	1	1	1	1	1	1	1	1	1
DB05259	1	0	0	0	0	0	0	0	0	0	0
DB05258	1	1	4	1	2	2	4	18	18	508	18
DB05253	1	1	5	1	19	19	54	50	50	1551	50
DB05252	1	0	0	1	9	9	23	113	113	835	120
DB05249	1	1	3	1	1	1	1	8	8	140	8
DB05246	1	0	0	1	2	2	2	57	57	166	61
DB05243	1	1	1	1	65	65	171	396	396	14989	396
DB05239	1	1	1	1	63	63	194	355	355	12652	355
DB05234	1	1	15	1	34	34	92	234	234	3877	234
DB05233	1	1	17	1	44	44	116	182	182	3640	182
DB05229	1	0	0	1	1	1	1	37	37	817	37
DB05228	1	0	0	0	0	0	0	0	0	0	0
DB05227	1	0	0	1	2	2	2	54	54	1007	59
DB05226	1	0	0	0	0	0	0	0	0	0	0
DB05225	1	0	0	1	1	1	1	1	1	1	2
DB05224	1	0	0	0	0	0	0	0	0	0	0
DB05222	1	0	0	0	0	0	0	0	0	0	0
DB05220	1	1	3	1	16	16	28	210	210	3925	210
DB05218	1	0	0	1	11	11	36	72	72	1542	83
DB05217	1	1	1	0	0	0	0	1	1	23	1
DB05214	1	0	0	1	9	9	23	113	113	835	120
DB05209	1	0	0	0	0	0	0	0	0	0	0
DB05205	1	0	0	1	12	12	26	20	20	353	24
DB05204	1	1	3	1	35	35	62	263	263	12615	263
DB05201	1	1	1	1	2	2	2	60	60	1090	60
DB05200	1	0	0	0	0	0	0	2	2	5	7
DB05199	1	0	0	0	0	0	0	0	0	0	0
DB05192	1	1	1	1	15	15	30	40	40	1039	40
DB05191	1	0	0	0	0	0	0	41	41	859	43
DB05188	1	0	0	1	7	7	11	27	27	545	29
DB05183	1	1	1	1	28	28	75	287	287	3874	287
DB05177	1	1	1	0	0	0	0	9	9	17	9
DB05166	1	0	0	0	0	0	0	24	24	629	24
DB05165	1	1	1	0	0	0	0	0	0	0	0
DB05164	1	1	1	0	0	0	0	0	0	0	0
DB05159	1	0	0	1	2	2	2	71	71	1129	73
DB05155	1	0	0	1	1	1	1	54	54	961	55
DB05152	1	0	0	0	0	0	0	3	3	95	3
DB05150	1	0	0	1	5	5	14	64	64	907	80
DB05141	1	1	1	0	0	0	0	0	0	0	0
DB05139	1	1	1	1	1	1	9	1	1	46	1
DB05133	1	1	1	1	5	5	18	20	20	571	20
DB05131	1	0	0	1	3	3	3	50	50	173	61
DB05130	1	0	0	1	2	2	2	71	71	1129	73
DB05127	1	0	0	1	2	2	5	112	112	1437	114
DB05125	1	0	0	1	1	1	1	14	14	21	15
DB05120	1	0	0	1	36	36	51	320	320	11882	325
DB05119	1	0	0	0	0	0	0	1	1	24	1
DB05116	1	1	9	0	0	0	0	0	0	0	0
DB05115	1	0	0	1	36	36	51	320	320	11882	325
DB05111	1	0	0	0	0	0	0	11	11	83	11
DB05110	1	0	0	0	0	0	0	11	11	83	11
DB05107	1	0	0	0	0	0	0	0	0	0	0
DB05105	1	0	0	0	0	0	0	0	0	0	0
DB05104	1	0	0	1	1	1	1	54	54	961	55
DB05102	1	0	0	0	0	0	0	0	0	0	0
DB05101	1	1	18	1	64	64	219	314	314	7369	314
DB05099	1	0	0	1	5	5	5	30	30	662	33
DB05098	1	0	0	1	7	7	49	24	24	822	28
DB05097	1	1	1	0	0	0	0	0	0	0	0
DB05095	1	0	0	1	12	12	23	26	26	900	28
DB05092	1	1	1	1	4	4	6	14	14	249	14
DB05091	1	0	0	1	1	1	18	59	59	1429	60
DB05088	1	0	0	1	5	5	14	64	64	907	80
DB05084	1	0	0	0	0	0	0	4	4	63	7
DB05077	1	1	1	1	2	2	2	60	60	1090	60
DB05073	1	0	0	1	23	23	75	244	244	3788	265
DB05072	1	0	0	0	0	0	0	5	5	354	7
DB05070	1	0	0	1	8	8	13	65	65	287	68
DB05064	1	1	1	1	1	1	3	11	11	125	11
DB05060	1	0	0	0	0	0	0	0	0	0	0
DB05053	1	0	0	1	1	1	1	2	2	23	10
DB05052	1	1	5	1	15	15	60	55	55	1410	55
DB05050	1	0	0	1	1	1	1	53	53	954	54
DB05049	1	0	0	0	0	0	0	0	0	0	0
DB05044	1	1	1	1	1	1	1	4	4	8	4
DB05042	1	0	0	1	2	2	5	38	38	878	39
DB05039	1	0	0	1	7	7	33	82	82	1710	86
DB05038	1	0	0	0	0	0	0	4	4	50	5
DB05034	1	0	0	1	8	8	14	93	93	2156	97
DB05033	1	1	1	0	0	0	0	11	11	43	11
DB05032	1	0	0	1	1	1	1	51	51	952	52
DB05025	1	0	0	1	4	4	10	46	46	350	53
DB05023	1	1	2	1	41	41	117	348	348	12875	348
DB05020	1	0	0	0	0	0	0	0	0	0	0
DB05018	1	0	0	0	0	0	0	0	0	0	0
DB05012	1	1	1	0	0	0	0	4	4	6	4
DB05009	1	0	0	0	0	0	0	41	41	859	43
DB05005	1	0	0	1	2	2	2	69	69	1105	69
DB05001	1	0	0	1	1	1	1	8	8	79	12
DB04998	1	1	2	1	13	13	29	87	87	1718	87
DB04997	1	1	1	1	4	4	6	14	14	249	14
DB04991	1	0	0	0	0	0	0	16	16	216	19
DB04985	1	1	1	0	0	0	0	236	236	1242	236
DB04983	1	1	1	1	1	1	4	1	1	99	1
DB04978	1	1	16	1	2	2	6	95	95	1310	95
DB04975	1	1	16	1	2	2	6	95	95	1310	95
DB04974	1	1	4	1	34	34	94	496	496	13339	496
DB04973	1	1	4	1	34	34	66	210	210	7978	210
DB04972	1	1	1	1	1	1	3	5	5	103	5
DB04970	1	1	1	1	1	1	1	57	57	980	57
DB04964	1	1	1	0	0	0	0	2	2	5	2
DB04960	1	1	2	1	1	1	1	8	8	15	8
DB04958	1	1	1	1	3	3	6	7	7	263	7
DB04956	1	0	0	1	11	11	36	72	72	1542	83
DB04954	1	0	0	1	1	1	1	52	52	1028	53
DB04951	1	0	0	1	2	2	5	27	27	1086	52
DB04948	1	1	1	1	2	2	2	56	56	1064	56
DB04947	1	0	0	0	0	0	0	11	11	100	12
DB04938	1	1	17	1	44	44	116	182	182	3640	182
DB04934	1	0	0	0	0	0	0	0	0	0	0
DB04933	1	0	0	1	17	17	69	175	175	3038	183
DB04931	1	0	0	1	17	17	44	148	148	4432	151
DB04929	1	0	0	1	1	1	1	1	1	1	2
DB04927	1	1	1	1	1	1	1	19	19	74	19
DB04926	1	0	0	1	2	2	2	88	88	701	89
DB04925	1	0	0	1	8	8	19	96	96	349	103
DB04915	1	1	1	0	0	0	0	0	0	0	0
DB04910	1	1	3	1	26	26	67	159	159	4459	159
DB04901	1	1	2	1	2	2	4	4	4	21	4
DB04898	1	0	0	1	10	10	35	94	94	808	101
DB04895	1	0	0	1	41	41	168	135	135	3544	153
DB04890	1	1	1	0	0	0	0	5	5	51	5
DB04887	1	0	0	0	0	0	0	0	0	0	0
DB04886	1	0	0	0	0	0	0	0	0	0	0
DB04885	1	0	0	0	0	0	0	0	0	0	0
DB04883	1	0	0	1	7	7	48	62	62	1509	66
DB04882	1	1	10	1	5	5	15	27	27	412	27
DB04881	1	1	4	1	6	6	18	107	107	2132	107
DB04880	1	0	0	1	2	2	2	7	7	124	7
DB04878	1	0	0	0	0	0	0	2	2	5	7
DB04877	1	1	4	1	6	6	18	107	107	2132	107
DB04876	1	0	0	1	1	1	1	8	8	79	12
DB04875	1	0	0	1	7	7	24	52	52	1543	64
DB04873	1	0	0	0	0	0	0	0	0	0	0
DB04872	1	0	0	0	0	0	0	0	0	0	2
DB04871	1	0	0	1	1	1	1	50	50	927	50
DB04867	1	1	1	1	1	1	1	46	46	885	46
DB04864	1	0	0	0	0	0	0	0	0	0	7
DB04862	1	0	0	0	0	0	0	0	0	0	0
DB04860	1	0	0	1	2	2	5	112	112	1437	114
DB04859	1	0	0	0	0	0	0	0	0	0	7
DB04857	1	0	0	1	4	4	4	63	63	1196	69
DB04856	1	1	1	1	1	1	1	46	46	885	46
DB04854	1	1	1	1	1	1	1	1	1	1	1
DB04853	1	0	0	0	0	0	0	41	41	859	43
DB04852	1	0	0	0	0	0	0	2	2	17	2
DB04850	1	0	0	1	12	12	26	20	20	353	24
DB04849	1	1	17	1	45	45	138	371	371	14255	371
DB04845	1	1	5	1	14	14	36	105	105	3372	105
DB04840	1	1	1	0	0	0	0	4	4	6	4
DB04837	1	1	1	0	0	0	0	5	5	51	5
DB04835	1	0	0	1	4	4	4	83	83	1530	88
DB04828	1	0	0	0	0	0	0	0	0	0	0
DB04817	1	0	0	1	1	1	17	3	3	76	4
DB04796	1	1	1	1	10	10	17	55	55	1035	55
DB04690	1	1	10	1	5	5	15	27	27	412	27
DB04575	1	1	17	1	44	44	116	182	182	3640	182
DB04339	1	1	1	1	1	1	3	5	5	103	5
DB03843	1	0	0	0	0	0	0	0	0	0	0
DB03783	1	0	0	1	1	1	17	3	3	76	4
DB03348	1	0	0	0	0	0	0	0	0	0	7
DB02959	1	0	0	0	0	0	0	0	0	0	0
DB02300	1	1	1	1	10	10	17	55	55	1035	55
DB02132	1	0	0	1	3	3	3	12	12	23	23
DB01783	1	0	0	0	0	0	0	0	0	0	0
DB01764	1	0	0	0	0	0	0	0	0	0	0
DB01685	1	1	1	1	1	1	1	1	1	1	1
DB01669	1	0	0	0	0	0	0	0	0	0	0
DB01628	1	0	0	1	12	12	23	26	26	900	28
DB01627	1	0	0	0	0	0	0	0	0	0	0
DB01619	1	1	1	0	0	0	0	5	5	51	5
DB01616	1	1	1	1	1	1	1	57	57	980	57
DB01615	1	1	1	0	0	0	0	5	5	51	5
DB01612	1	0	0	1	8	8	14	93	93	2156	97
DB01607	1	0	0	0	0	0	0	0	0	0	0
DB01605	1	0	0	0	0	0	0	0	0	0	0
DB01604	1	0	0	0	0	0	0	0	0	0	0
DB01602	1	0	0	0	0	0	0	0	0	0	0
DB01601	1	0	0	0	0	0	0	0	0	0	0
DB01597	1	0	0	0	0	0	0	0	0	0	0
DB01590	1	1	4	1	34	34	94	496	496	13339	496
DB01582	1	0	0	0	0	0	0	0	0	0	0
DB01581	1	0	0	0	0	0	0	0	0	0	0
DB01569	1	1	1	0	0	0	0	1	1	7	1
DB01564	1	1	15	1	34	34	92	234	234	3877	234
DB01466	1	0	0	1	1	1	1	60	60	991	65
DB01463	1	0	0	0	0	0	0	11	11	100	12
DB01438	1	1	1	1	3	3	3	26	26	107	26
DB01433	1	0	0	1	1	1	1	60	60	991	65
DB01430	1	0	0	1	6	6	10	42	42	383	51
DB01426	1	0	0	1	4	4	4	70	70	289	71
DB01425	1	0	0	1	4	4	4	63	63	1196	69
DB01422	1	1	1	0	0	0	0	34	34	64	34
DB01421	1	0	0	0	0	0	0	0	0	0	0
DB01420	1	1	15	1	34	34	92	234	234	3877	234
DB01418	1	0	0	0	0	0	0	1	1	13	1
DB01416	1	0	0	0	0	0	0	0	0	0	0
DB01410	1	1	4	1	14	14	37	74	74	1684	74
DB01408	1	0	0	1	7	7	33	82	82	1710	86
DB01400	1	0	0	0	0	0	0	0	0	0	7
DB01396	1	0	0	1	6	6	10	42	42	383	51
DB01384	1	1	4	1	14	14	37	74	74	1684	74
DB01380	1	1	4	1	14	14	37	74	74	1684	74
DB01366	1	0	0	1	7	7	33	82	82	1710	86
DB01357	1	1	17	1	44	44	116	182	182	3640	182
DB01348	1	0	0	0	0	0	0	4	4	188	4
DB01347	1	0	0	1	4	4	25	76	76	1899	81
DB01345	1	0	0	1	6	6	10	42	42	383	51
DB01342	1	0	0	1	4	4	25	76	76	1899	81
DB01340	1	0	0	0	0	0	0	4	4	188	4
DB01339	1	0	0	0	0	0	0	1	1	1	10
DB01330	1	0	0	0	0	0	0	0	0	0	0
DB01326	1	0	0	0	0	0	0	0	0	0	0
DB01324	1	0	0	0	0	0	0	2	2	2	2
DB01321	1	0	0	0	0	0	0	0	0	0	0
DB01320	1	0	0	1	4	4	4	70	70	289	71
DB01319	1	0	0	0	0	0	0	0	0	0	0
DB01309	1	0	0	1	36	36	51	320	320	11882	325
DB01307	1	0	0	1	36	36	51	320	320	11882	325
DB01306	1	0	0	1	36	36	51	320	320	11882	325
DB01301	1	0	0	0	0	0	0	0	0	0	0
DB01298	1	0	0	0	0	0	0	0	0	0	0
DB01297	1	0	0	1	1	1	1	51	51	888	54
DB01289	1	0	0	0	0	0	0	2	2	3	3
DB01284	1	0	0	0	0	0	0	37	37	797	39
DB01282	1	0	0	1	1	1	1	48	48	915	50
DB01280	1	1	4	1	14	14	23	166	166	2404	166
DB01279	1	0	0	0	0	0	0	2	2	60	5
DB01276	1	0	0	0	0	0	0	1	1	27	3
DB01274	1	0	0	1	7	7	33	82	82	1710	86
DB01272	1	0	0	0	0	0	0	1	1	4	3
DB01271	1	0	0	0	0	0	0	2	2	60	5
DB01270	1	1	5	1	28	28	121	60	60	1694	60
DB01269	1	1	18	1	64	64	219	314	314	7369	314
DB01265	1	0	0	0	0	0	0	0	0	0	0
DB01264	1	0	0	0	0	0	0	0	0	0	0
DB01263	1	0	0	0	0	0	0	0	0	0	0
DB01262	1	1	2	1	8	8	36	76	76	1444	76
DB01261	1	0	0	1	1	1	1	8	8	79	12
DB01260	1	1	4	1	14	14	37	74	74	1684	74
DB01257	1	1	1	1	1	1	1	11	11	20	11
DB01256	1	0	0	0	0	0	0	0	0	0	0
DB01253	1	1	1	1	3	3	3	47	47	888	47
DB01246	1	1	1	0	0	0	0	5	5	51	5
DB01241	1	1	1	1	21	21	58	65	65	1390	65
DB01237	1	1	1	0	0	0	0	5	5	51	5
DB01232	1	0	0	0	0	0	0	0	0	0	0
DB01228	1	0	0	1	4	4	4	70	70	289	71
DB01222	1	1	4	1	14	14	37	74	74	1684	74
DB01219	1	0	0	1	1	1	1	8	8	55	11
DB01217	1	1	6	1	2	2	2	7	7	57	7
DB01206	1	1	1	0	0	0	0	0	0	0	0
DB01204	1	1	16	1	2	2	6	95	95	1310	95
DB01201	1	0	0	0	0	0	0	0	0	0	0
DB01190	1	0	0	0	0	0	0	0	0	0	0
DB01188	1	0	0	1	6	6	10	42	42	383	51
DB01181	1	1	12	1	9	9	33	33	33	652	33
DB01180	1	0	0	0	0	0	0	4	4	188	4
DB01178	1	0	0	1	2	2	2	3	3	17	3
DB01177	1	1	16	1	2	2	6	95	95	1310	95
DB01172	1	0	0	0	0	0	0	0	0	0	0
DB01171	1	0	0	1	12	12	26	20	20	353	24
DB01170	1	1	1	0	0	0	0	4	4	6	4
DB01166	1	0	0	1	2	2	2	7	7	124	7
DB01164	1	0	0	0	0	0	0	0	0	0	0
DB01158	1	0	0	1	6	6	10	42	42	383	51
DB01157	1	1	4	0	0	0	0	5	5	36	5
DB01153	1	0	0	0	0	0	0	0	0	0	0
DB01145	1	0	0	0	0	0	0	0	0	0	0
DB01141	1	0	0	0	0	0	0	0	0	0	0
DB01139	1	0	0	0	0	0	0	0	0	0	0
DB01134	1	0	0	1	4	4	19	17	17	370	18
DB01130	1	1	4	1	14	14	37	74	74	1684	74
DB01129	1	0	0	1	3	3	7	26	26	46	32
DB01128	1	1	15	1	34	34	92	234	234	3877	234
DB01125	1	0	0	1	1	1	1	5	5	20	6
DB01122	1	0	0	0	0	0	0	0	0	0	7
DB01121	1	1	1	1	3	3	3	26	26	107	26
DB01116	1	0	0	0	0	0	0	1	1	1	3
DB01112	1	0	0	0	0	0	0	0	0	0	0
DB01101	1	1	9	0	0	0	0	0	0	0	0
DB01098	1	0	0	1	2	2	2	9	9	144	21
DB01095	1	0	0	1	2	2	2	9	9	144	21
DB01091	1	1	1	1	1	1	1	19	19	74	19
DB01089	1	0	0	1	1	1	1	3	3	35	3
DB01086	1	0	0	1	4	4	4	63	63	209	64
DB01084	1	1	1	0	0	0	0	5	5	51	5
DB01078	1	0	0	1	6	6	10	42	42	383	51
DB01072	1	0	0	0	0	0	0	0	0	0	0
