DB00373	S C
DB00374	B
DB00375	C
DB00376	N
DB00377	A
DB00378	G
DB00379	C
DB00380	V
DB00381	C
DB00382	N
DB00383	A
DB00384	C
DB00385	L
DB00387	N
DB00388	S C R
DB00389	H
DB00390	C
DB00391	N
DB00392	N
DB00393	C
DB00394	A D R
DB00395	M
DB00396	G
DB00397	R
DB00398	L
DB00399	M
DB00400	D
DB00401	C
DB00402	N
DB00403	V
DB00404	N
DB00405	R
DB00406	D G
DB00407	-
DB00408	N
DB00409	N
DB00410	D R
DB00411	S N
DB00412	A
DB00413	N
DB00414	A
DB00415	S J
DB00416	-
DB00417	J
DB00418	N
DB00419	A
DB00420	N
DB00421	C
DB00422	N
DB00423	M
DB00424	A
DB00425	N
DB00426	S J
DB00427	R
DB00428	L
DB00429	G
DB00430	J
DB00431	P
DB00432	S L
DB00433	N
DB00434	R
DB00435	R
DB00436	C G
DB00437	M
DB00438	J
DB00439	C
DB00440	J
DB00441	L
DB00442	J
DB00443	S H A D C R
DB00444	L
DB00445	L
DB00446	S J D G
DB00447	J
DB00448	A
DB00449	S
DB00450	N
DB00451	H
DB00452	S D R
DB00453	J
DB00454	N
DB00455	R
DB00456	J
DB00457	C
DB00458	N
DB00459	D
DB00460	S
DB00461	M
DB00462	-
DB00463	N
DB00464	C
DB00465	S M
DB00466	-
DB00467	J
DB00468	M P
DB00469	M
DB00470	A
DB00471	R
DB00472	N
DB00473	-
DB00474	N
DB00475	N
DB00476	N
DB00477	N
DB00478	J
DB00479	S J D
DB00480	L
DB00481	G
DB00482	M G L
DB00483	-
DB00484	S D
DB00485	J
DB00486	A
DB00487	J
DB00488	L
DB00489	C
DB00490	N
DB00491	A
DB00492	C
DB00493	J
DB00494	N
DB00495	J
DB00496	G
DB00497	N
DB00498	B
DB00499	L
DB00500	M
DB00501	A
DB00502	N
DB00503	J
DB00504	-
DB00505	A
DB00507	P
DB00508	N
DB00509	C
DB00511	C
DB00512	A J
DB00513	B
DB00514	N R
DB00515	L
DB00516	-
DB00517	-
DB00518	P
DB00519	C
DB00520	J
DB00521	S C
DB00522	V
DB00523	D L
DB00524	C G
DB00525	D
DB00526	L
DB00527	S N D C
DB00528	C
DB00529	J
DB00530	L
DB00531	L
DB00532	N
DB00533	M
DB00534	-
DB00535	J
DB00536	-
DB00537	S J
DB00538	V
DB00539	L
DB00540	N
DB00541	L
DB00542	C
DB00543	N
DB00544	L
DB00545	N
DB00546	N
DB00547	D
DB00548	D
DB00549	R
DB00550	H
DB00551	G
DB00552	L
DB00553	D
DB00554	S M
DB00555	N
DB00556	-
DB00557	N
DB00558	J
DB00559	C
DB00560	J
DB00561	R
DB00562	G
DB00563	L
DB00564	N
DB00565	-
DB00566	-
DB00567	J
DB00568	N
DB00569	-
DB00570	L
DB00571	C
DB00572	S A
DB00573	M
DB00574	A
DB00575	S N C
DB00576	S J D G B
DB00577	J
DB00578	J
DB00579	A
DB00580	M
DB00581	A
DB00582	J
DB00583	A
DB00584	C
DB00585	A
DB00586	S M D
DB00587	-
DB00588	-
DB00589	N G
DB00590	C
DB00591	S D C
DB00592	P
DB00593	N
DB00594	C
DB00595	S J D G
DB00596	D
DB00597	V
DB00598	C
DB00599	N
DB00600	D
DB00601	J
DB00602	D P
DB00603	G L
DB00604	A
DB00605	M
DB00606	C G
DB00607	J
DB00608	P
DB00609	J
DB00610	C
DB00611	N
DB00612	C
DB00613	P
DB00614	G
DB00615	J
DB00616	-
DB00617	N
DB00618	J D
DB00619	L
DB00620	S H A D C R
DB00621	A
DB00622	C
DB00623	N
DB00624	G
DB00625	J
DB00626	J D R
DB00627	C
DB00628	-
DB00629	-
DB00630	M
DB00631	L
DB00632	D
DB00633	N
DB00634	S D G
DB00635	H A
DB00636	C
DB00637	R
DB00638	V
DB00639	G
DB00640	C
DB00641	A C
DB00642	L
DB00643	P
DB00644	H V
DB00645	N R
DB00646	A D G
DB00647	N
DB00648	L
DB00649	J
DB00650	V
DB00651	R
DB00652	N
DB00653	A D B V
DB00654	S
DB00655	G
DB00656	N
DB00657	C
DB00658	V
DB00659	N
DB00660	-
DB00661	C
DB00662	R
DB00663	S D
DB00664	J G
DB00665	L
DB00666	H
DB00668	S A C R B
DB00669	N G
DB00670	A
DB00671	J
DB00672	A
DB00673	A
DB00674	N
DB00675	L
DB00676	P
DB00677	-
DB00678	C
DB00679	N
DB00680	C
DB00681	A J G
DB00682	B
DB00683	N
DB00684	S J
DB00685	J
DB00686	C G
DB00687	S H
DB00688	-
DB00689	-
DB00690	N
DB00691	C
DB00692	C V
DB00693	S
DB00694	L
DB00695	C G
DB00696	N
