DB00089	1	V09IB04
DB00090	1	A16AB05
DB00091	2	L04AD01 S01XA18
DB00092	1	L04AA15
DB00094	1	G03GA04
DB00095	1	L04AA21
DB00097	1	G03GA08
DB00098	1	L04AA04
DB00099	1	L03AA02
DB00100	1	B02BD09
DB00102	2	A01AD08 D03AX06
DB00103	2	A16AB03 A16AB04
DB00104	1	H01CB02
DB00105	1	L03AB05
DB00106	1	L02BX01
DB00107	2	G02AC01 H01BB02
DB00108	1	L04AA23
DB00109	1	J05AX07
DB00110	1	J06BB16
DB00111	1	L04AC01
DB00112	1	L01XC07
DB00113	1	V09IA06
DB00114	1	A11HA06
DB00115	3	B03AE01 B03BA01 B03BA51
DB00118	1	A16AA02
DB00121	1	A11HA05
DB00122	1	N02BA03
DB00123	1	B05XB03
DB00125	1	B05XB01
DB00126	4	A11GA01 A11GB01 G01AD03 S01XA15
DB00130	1	A16AA03
DB00134	1	V03AB26
DB00136	2	A11CC04 D05AX03
DB00140	1	A11HA04
DB00142	1	A09AB01
DB00143	1	V03AB32
DB00145	1	B05CX03
DB00146	1	A11CC06
DB00150	1	N06AX02
DB00152	1	A11DA01
DB00153	1	A11CC01
DB00158	4	B03AE01 B03AE02 B03BB01 B03BB51
DB00162	5	A11CA01 D10AD02 R01AX02 S01XA02 V04CB01
DB00165	1	A11HA02
DB00166	1	A16AX01
DB00169	7	A11CC05 M05BB03 M05BB04 M05BB05 M05BB07 M05BB08 M05BX53
DB00170	1	B02BA02
DB00175	3	C10AA03 C10BA03 C10BX02
DB00176	1	N06AB08
DB00177	8	C09CA03 C09DA03 C09DB01 C09DB08 C09DX01 C09DX02 C09DX04 C10BX10
DB00178	6	C09AA05 C09BA05 C09BB05 C09BB07 C10BX04 C10BX06
DB00179	1	L01XX10
DB00180	2	R01AD04 R03BA03
DB00181	1	M03BX01
DB00182	1	N06BA01
DB00183	1	V04CG04
DB00184	1	N07BA01
DB00185	1	N07AX03
DB00186	2	N05BA06 N05BA56
DB00187	1	C07AB09
DB00188	1	L01XX32
DB00189	1	N05CM08
DB00191	1	A08AA01
DB00193	2	N02AX02 N02AX52
DB00194	2	J05AB03 S01AD06
DB00195	3	C07AB05 S01ED02 S01ED52
DB00196	3	D01AC15 J01RA07 J02AC01
DB00197	1	A10BG01
DB00198	1	J05AH02
DB00199	4	D10AF02 D10AF52 J01FA01 S01AA17
DB00200	3	B03BA03 B03BA53 V03AB33
DB00201	3	N06BC01 R03DA20 V04CG30
DB00202	1	M03AB01
DB00203	2	G01AE10 G04BE03
DB00204	1	C01BD04
DB00205	3	P01BD01 P01BD51 P01BF04
DB00206	5	C02AA02 C02AA52 C02LA01 C02LA51 C02LA71
DB00207	3	J01FA10 J01RA07 S01AA26
DB00208	1	B01AC05
DB00209	2	A03DA06 G04BD09
DB00210	2	D10AD03 D10AD53
DB00211	1	C01CA17
DB00212	1	C09XA01
DB00213	3	A02BC02 A02BD04 A02BD11
DB00214	1	C03CA04
DB00215	1	N06AB04
DB00216	1	N02CC06
DB00217	1	C02CC01
DB00218	2	J01MA14 S01AE07
DB00219	2	A03AB03 A03AB53
DB00220	1	J05AE04
DB00221	2	R03AC07 R03CC06
DB00222	3	A10BB12 A10BD04 A10BD06
DB00223	1	D07AC10
DB00224	1	J05AE02
DB00225	1	V08CA03
DB00227	2	C10AA02 C10BA01
DB00228	1	N01AB04
DB00229	1	J01DC07
DB00230	1	N03AX16
DB00231	1	N05CD07
DB00232	3	C03AA08 C03AB08 G01AE10
DB00233	3	J04AA01 J04AA02 J04AA03
DB00234	1	N06AX18
DB00235	1	C01CE02
DB00236	1	L01AX02
DB00238	3	J05AG01 J05AR05 J05AR07
DB00239	3	D01AC11 G01AF17 G01AF20
DB00240	2	D07AB10 S01BA10
DB00242	1	L01BB04
DB00243	1	C01EB18
DB00244	1	A07EC02
DB00245	1	N04AC01
DB00246	1	N05AE04
DB00247	1	N02CA04
DB00248	2	G02CB03 N04BC06
DB00249	3	D06BB01 J05AB02 S01AD01
DB00250	2	D10AX05 J04BA02
DB00251	1	G01AG02
DB00252	2	N03AB02 N03AB52
DB00253	1	S01BA08
DB00254	3	A01AB22 J01AA02 J01AA20
DB00255	4	G03CB02 G03CC05 L02AA01 L02AA04
DB00256	2	J01AA04 J01AA20
DB00257	3	A01AB18 D01AC01 G01AF02
DB00258	3	A11GB01 V03AE04 V03AE07
DB00259	3	D06BA05 G01AE10 J01EB06
DB00260	1	J04AB01
